Number,Date,Days generation
1,05-Apr-22,31.5882125
2,06-Apr-22,22.34
3,07-Apr-22,33.59
4,08-Apr-22,22.01
5,09-Apr-22,37.84
6,10-Apr-22,35.8647705
7,11-Apr-22,29.935906
8,12-Apr-22,17.3978155
9,13-Apr-22,30.713462
10,14-Apr-22,25.853737
11,15-Apr-22,42.8627745
12,16-Apr-22,42.2796075
13,17-Apr-22,39.849745
14,18-Apr-22,41.8908295
15,19-Apr-22,21.4799845
16,20-Apr-22,39.849745
17,21-Apr-22,35.767576
18,22-Apr-22,32.3657685
19,23-Apr-22,39.7525505
20,24-Apr-22,36.739521
21,25-Apr-22,31.83
22,26-Apr-22,45.1
23,27-Apr-22,24.09
24,28-Apr-22,26.6
25,29-Apr-22,33.36
26,30-Apr-22,44.49
27,01-May-22,20.47
28,02-May-22,16.92
29,03-May-22,18.55
30,04-May-22,30.1
